year.id,year.display-label,hisp.id,hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop_sex0_age999,totpop_sex0_age0to4,totpop_sex0_age5to9,totpop_sex0_age10to14,totpop_sex0_age15to19,totpop_sex0_age20to24,totpop_sex0_age25to29,totpop_sex0_age30to34,totpop_sex0_age35to39,totpop_sex0_age40to44,totpop_sex0_age45to49,totpop_sex0_age50to54,totpop_sex0_age55to59,totpop_sex0_age60to64,totpop_sex0_age65to69,totpop_sex0_age70to74,totpop_sex0_age75to79,totpop_sex0_age80to84,totpop_sex0_age85plus,totpop_sex0_medage
Id,Year,Id,Hispanic Origin,Id,Id2,Geography,Total; Both Sexes; Total,Total; Both Sexes; Under 5 years,Total; Both Sexes; 5 to 9 years,Total; Both Sexes; 10 to 14 years,Total; Both Sexes; 15 to 19 years,Total; Both Sexes; 20 to 24 years,Total; Both Sexes; 25 to 29 years,Total; Both Sexes; 30 to 34 years,Total; Both Sexes; 35 to 39 years,Total; Both Sexes; 40 to 44 years,Total; Both Sexes; 45 to 49 years,Total; Both Sexes; 50 to 54 years,Total; Both Sexes; 55 to 59 years,Total; Both Sexes; 60 to 64 years,Total; Both Sexes; 65 to 69 years,Total; Both Sexes; 70 to 74 years,Total; Both Sexes; 75 to 79 years,Total; Both Sexes; 80 to 84 years,Total; Both Sexes; 85 years and over,Total; Both Sexes; Median age (years)
est72010,"July 1, 2010",nhisp,Not Hispanic,0400000US29,29,Missouri,5781776,362772,366739,377341,402681,394715,384299,357087,350212,367801,430796,436175,386301,332157,254967,192358,153734,117976,113665,38.6
est72010,"July 1, 2010",totpop,Total,0400000US29,29,Missouri,5995681,389533,390302,397073,422034,414559,403659,374976,365805,380602,441752,444886,392585,336649,257888,194455,155273,119090,114560,37.9
est72011,"July 1, 2011",hisp,Hispanic,0400000US29,29,Missouri,219230,26657,24390,20524,19543,19710,19550,18438,16028,13242,11312,9232,6645,4890,3047,2226,1616,1157,1023,24.7
est72011,"July 1, 2011",nhisp,Not Hispanic,0400000US29,29,Missouri,5791050,358794,365296,376440,393444,400931,383797,366078,338888,368437,413116,439623,394171,348158,257964,197197,154403,118292,116021,38.8
est72011,"July 1, 2011",totpop,Total,0400000US29,29,Missouri,6010280,385451,389686,396964,412987,420641,403347,384516,354916,381679,424428,448855,400816,353048,261011,199423,156019,119449,117044,38.0
est72012,"July 1, 2012",hisp,Hispanic,0400000US29,29,Missouri,224827,26537,25249,21366,19606,20265,19425,19024,16371,13905,11502,9600,7148,5103,3372,2346,1690,1228,1090,24.8
est72012,"July 1, 2012",nhisp,Not Hispanic,0400000US29,29,Missouri,5798440,354483,365493,372906,384221,409406,380898,372215,335771,365679,395775,437706,403423,347140,276494,204660,154930,118016,119224,38.9
est72012,"July 1, 2012",totpop,Total,0400000US29,29,Missouri,6023267,381020,390742,394272,403827,429671,400323,391239,352142,379584,407277,447306,410571,352243,279866,207006,156620,119244,120314,38.1
est72013,"July 1, 2013",hisp,Hispanic,0400000US29,29,Missouri,230847,26354,26088,22354,19965,20596,19373,19621,16924,14536,11754,10005,7551,5309,3708,2473,1757,1295,1184,25.0
est72013,"July 1, 2013",nhisp,Not Hispanic,0400000US29,29,Missouri,5810295,350310,365664,369930,378524,414491,378957,378808,337964,361110,379208,434858,410847,352384,285272,215365,157085,118013,121505,38.9
est72013,"July 1, 2013",totpop,Total,0400000US29,29,Missouri,6041142,376664,391752,392284,398489,435087,398330,398429,354888,375646,390962,444863,418398,357693,288980,217838,158842,119308,122689,38.2
est72014,"July 1, 2014",hisp,Hispanic,0400000US29,29,Missouri,237446,26429,26610,23201,20720,21213,19465,20060,17458,15206,12007,10357,8022,5682,4011,2562,1787,1352,1304,25.1
est72014,"July 1, 2014",nhisp,Not Hispanic,0400000US29,29,Missouri,5820568,349604,362952,367667,374362,413933,381832,380572,343446,353701,366114,429937,415737,359304,296380,222757,160407,118035,123828,39.1
est72014,"July 1, 2014",totpop,Total,0400000US29,29,Missouri,6058014,376033,389562,390868,395082,435146,401297,400632,360904,368907,378121,440294,423759,364986,300391,225319,162194,119387,125132,38.3
est72015,"July 1, 2015",hisp,Hispanic,0400000US29,29,Missouri,244004,26399,26988,24092,21734,21704,19670,20114,18261,15588,12526,10683,8517,6028,4343,2680,1886,1386,1405,25.3
est72015,"July 1, 2015",nhisp,Not Hispanic,0400000US29,29,Missouri,5828636,349107,359911,364486,373627,408687,385743,379557,351938,344560,360638,419063,420470,367556,308803,227714,162945,118415,125416,39.1
est72015,"July 1, 2015",totpop,Total,0400000US29,29,Missouri,6072640,375506,386899,388578,395361,430391,405413,399671,370199,360148,373164,429746,428987,373584,313146,230394,164831,119801,126821,38.3
est72016,"July 1, 2016",hisp,Hispanic,0400000US29,29,Missouri,251622,26720,26956,25248,22695,22320,20046,20430,19088,16020,13068,11106,8937,6429,4758,2819,1988,1451,1543,25.5
est72016,"July 1, 2016",nhisp,Not Hispanic,0400000US29,29,Missouri,5839554,347896,357242,363360,372700,400097,392291,379247,361483,333375,362272,402584,424129,375068,323575,230611,167389,119350,126885,39.2
